time,open,high,low,close,tick_count
2025-05-19 07:30:00,32.499,32.506,32.421,32.454,92
2025-05-19 07:45:00,32.454,32.488,32.441,32.462,99
2025-05-19 08:00:00,32.471,32.504,32.427,32.504,93
2025-05-19 08:15:00,32.505,32.547,32.489,32.500,77
2025-05-19 08:30:00,32.506,32.527,32.478,32.525,114
2025-05-19 08:45:00,32.531,32.604,32.524,32.604,93
2025-05-19 09:00:00,32.578,32.612,32.521,32.522,84
2025-05-19 09:15:00,32.523,32.532,32.475,32.513,102
2025-05-19 09:30:00,32.509,32.533,32.488,32.523,79
2025-05-19 09:45:00,32.523,32.550,32.501,32.545,114
2025-05-19 10:00:00,32.546,32.557,32.476,32.514,97
2025-05-19 10:15:00,32.511,32.558,32.455,32.558,107
2025-05-19 10:30:00,32.568,32.589,32.538,32.589,77
2025-05-19 10:45:00,32.589,32.612,32.563,32.571,91
2025-05-19 11:00:00,32.576,32.612,32.520,32.593,97
2025-05-19 11:15:00,32.601,32.605,32.576,32.591,109
2025-05-19 11:30:00,32.586,32.614,32.582,32.585,112
2025-05-19 11:45:00,32.585,32.612,32.562,32.604,110
2025-05-19 12:00:00,32.593,32.615,32.567,32.608,102
2025-05-19 12:15:00,32.608,32.622,32.561,32.599,98
2025-05-19 12:30:00,32.599,32.612,32.509,32.546,82
2025-05-19 12:45:00,32.546,32.565,32.382,32.382,66
2025-05-19 13:00:00,32.400,32.403,32.344,32.344,50
2025-05-19 13:15:00,32.404,32.404,32.339,32.381,53
2025-05-19 13:30:00,32.357,32.387,32.300,32.339,27
2025-05-19 13:45:00,32.352,32.364,32.290,32.320,46
2025-05-19 14:00:00,32.330,32.331,32.235,32.253,46
2025-05-19 14:15:00,32.260,32.377,32.259,32.369,57
2025-05-19 14:30:00,32.369,32.392,32.340,32.340,62
2025-05-19 14:45:00,32.353,32.391,32.349,32.378,67
2025-05-19 15:00:00,32.378,32.384,32.348,32.378,97
2025-05-19 15:15:00,32.397,32.399,32.347,32.389,109
2025-05-19 15:30:00,32.382,32.389,32.357,32.379,81
2025-05-19 15:45:00,32.395,32.476,32.395,32.416,76
2025-05-19 16:00:00,32.422,32.422,32.379,32.397,102
2025-05-19 16:15:00,32.397,32.407,32.343,32.345,95
2025-05-19 16:30:00,32.352,32.414,32.349,32.402,108
2025-05-19 16:45:00,32.402,32.427,32.392,32.393,89
2025-05-19 17:00:00,32.393,32.399,32.361,32.375,81
2025-05-19 17:15:00,32.375,32.389,32.350,32.376,80
2025-05-19 17:30:00,32.382,32.387,32.305,32.308,77
2025-05-19 17:45:00,32.314,32.347,32.310,32.320,98
2025-05-19 18:00:00,32.320,32.345,32.309,32.334,79
2025-05-19 18:15:00,32.334,32.359,32.331,32.354,89
2025-05-19 18:30:00,32.351,32.395,32.347,32.372,60
2025-05-19 18:45:00,32.372,32.383,32.372,32.378,69
2025-05-19 19:00:00,32.378,32.391,32.365,32.387,92
2025-05-19 19:15:00,32.387,32.392,32.369,32.379,87
2025-05-19 19:30:00,32.384,32.387,32.353,32.362,82
2025-05-19 19:45:00,32.377,32.377,32.343,32.364,51
2025-05-19 20:00:00,32.356,32.377,32.356,32.377,54
2025-05-19 20:15:00,32.377,32.377,32.356,32.356,12
2025-05-19 20:30:00,32.347,32.347,32.347,32.347,7
2025-05-19 20:45:00,32.370,32.370,32.349,32.349,46
2025-05-19 22:00:00,32.358,32.365,32.324,32.352,50
2025-05-19 22:15:00,32.352,32.356,32.342,32.346,20
2025-05-19 22:30:00,32.356,32.356,32.328,32.339,24
2025-05-19 22:45:00,32.339,32.355,32.339,32.350,34
2025-05-19 23:00:00,32.355,32.355,32.344,32.344,37
2025-05-19 23:15:00,32.355,32.355,32.337,32.337,39
2025-05-19 23:30:00,32.337,32.362,32.337,32.352,62
2025-05-19 23:45:00,32.352,32.358,32.350,32.358,27
2025-05-20 00:00:00,32.362,32.365,32.341,32.362,37
2025-05-20 00:15:00,32.341,32.341,32.325,32.330,28
2025-05-20 00:30:00,32.336,32.340,32.309,32.340,52
